SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
66	1113	4651	4543
67	1113	3643	3548
68	1113	2804	2735
69	1113	3770	3671
70	1113	9212	8990
71	1113	3369	3278
72	1113	5517	5392
73	1113	96	95
74	1113	6726	6539
75	1113	5575	5423
76	1113	6596	6431
77	1113	1849	1806
78	1113	1371	1330
79	1113	2314	2266
80	1113	914	865
81	1113	4427	4301
82	1113	1701	1649
83	1113	1033	1010
84	1113	7428	7172
85	1113	1610	1536
86	1113	4760	4646
87	1113	4527	4435
88	1113	638	623
89	1113	1968	1925
90	1113	1343	1317
91	1113	4683	4592
92	1113	1817	1761
93	1113	2230	2180
94	1113	1003	971
95	1113	1605	1559
96	1113	1707	1659
0	1114	54610	52822
1	1114	4	2
2	1114	235	220
3	1114	2724	2666
4	1114	731	715
5	1114	1793	1746
6	1114	1342	1318
7	1114	5148	5034
8	1114	2840	2777
9	1114	3473	3401
10	1114	1019	992
11	1114	4800	4696
12	1114	986	959
13	1114	148	131
14	1114	1862	1822
15	1114	1971	1931
16	1114	2859	2801
17	1114	1441	1397
18	1114	3039	2981
19	1114	5940	5788
20	1114	1101	1068
21	1114	1243	1217
22	1114	168	165
23	1114	1323	1289
24	1114	4947	4847
25	1114	116	110
26	1114	927	905
27	1114	3015	2933
28	1114	1489	1430
29	1114	3526	3430
30	1114	8201	7993
31	1114	1195	1154
32	1114	3907	3803
33	1114	1129	1115
34	1114	5428	5298
35	1114	2748	2675
36	1114	1502	1461
